publisher_id,Date,PGDR
802383246,2019-12-02,51.38970985930373
802383246,2019-12-13,51.38970985930373
802383246,2020-01-01,1.6917616582722188
802383246,2020-01-21,1.8126017767202347
802383246,2020-01-26,1.6917616582722188
802383246,2020-03-15,60.08851020738007
802383246,2020-04-19,23.893973848232
802383246,2020-06-21,-12.766300056065106
802383246,2020-07-08,-14.28535108014852
802383246,2020-07-26,-14.28535108014852
-1792943295,2019-04-11,53.75772442185866
-1792943295,2019-07-08,-27.73298351807732
-1792943295,2019-10-31,64.17215942248532
-1792943295,2019-11-11,268.88576854256365
-1792943295,2019-12-02,80.6853026584315
-1792943295,2020-01-01,-43.83219211848756
-1792943295,2020-01-26,-43.83219211848756
-1792943295,2020-04-02,638.4127089380374
-1792943295,2020-07-08,-120.0125881138307
