appid,Date,PGDR
292030,2019-04-13,-8.765306355303789
292030,2019-06-16,116.9676501816877
292030,2019-07-08,-15.946391953480934
292030,2019-09-08,-34.50382938578276
292030,2019-10-31,-0.28172881048165305
292030,2019-11-11,251.8620154871649
292030,2019-12-02,380.45266992583925
292030,2019-12-13,380.45266992583925
292030,2020-01-01,1.6281890923735405
292030,2020-01-26,1.6281890923735405
292030,2020-04-05,-0.09695369008977749
292030,2020-05-31,-43.197659191888626
292030,2020-07-08,-26.16644871670891
381210,2019-04-09,51.11470736267347
381210,2019-05-27,48.08054042282295
381210,2019-07-08,-18.97756061442762
381210,2019-09-24,12.923718917712726
381210,2019-10-31,2.2611117089799664
381210,2019-12-02,1.356097723513575
381210,2020-01-01,2.2402252685864283
381210,2020-01-26,2.2402252685864283
