publisher,publisher_id,num_languages,%_positive_reviews,RPR
"CAPCOM U.S.A., INC.",-1239304908,6.0,90.02911208151383,3.6026055254707416
CD PROJEKT RED,-2087993330,12.666666666666666,90.0696798447675,5.107211177642642
CI Games,1821618302,9.0,57.371811636194586,4.432723208449207
Campfire Games,-956813551,1.0,84.61791831357048,2.821537789715588
Campo Santo,1005735844,7.0,84.75903181785534,4.24007162670612
Camshaft Software,425258586,5.0,90.51162790697674,3.018060283660445
Capcom,78587240,9.714285714285714,77.00576008497231,2.9964383586106726
CarX Technologies,-30346872,2.0,88.33387044795359,8.842229274069428
Carpe Fulgur LLC,883966857,2.0,96.56025179856115,4.8304278038299735
Cats Who Play,352297325,4.0,83.81294964028777,5.990918487511634
Cellar Door Games,-1990888721,8.0,92.76451999564128,6.188426951010092
Charyb Games,-100134745,1.0,60.19736842105263,44.94328366981105
"Chongqing Shangshixuan Technology Co., Ltd.,",222399988,4.0,70.73170731707317,5.899224963892675
Chubby Pixel,-1384110145,1.0,60.92434314656538,38.73993245973922
Chucklefish,-527831000,1.0,92.06746308562718,7.713273812209247
Circle Five Studios,-1313528584,4.0,77.58557232241444,5.972715344296724
Clapfoot,1750924896,1.0,79.06217539694318,3.955086313003661
CleanWaterSoft,-220425892,1.0,100.0,20.04008016032064
Clever Endeavour Games,-147991464,14.0,96.82388740966148,6.4592319819654085
Clickteam,1068645678,3.0,89.91097922848664,0.8991997122560921
Code Horizon,-969343543,13.0,66.68339187155043,3.3358375123336885
Codemasters,-742141607,7.583333333333333,79.05933215835698,4.482604676193772
Code}{atch,-1106889255,1.0,53.815416344418665,5.386928563004871
Coffee Stain Publishing,-962112595,10.0,90.72491584011125,7.529776615845127
ColdGames,2141515254,16.0,71.96893787575151,5.144312928931488
ConcernedApe,-1743698508,12.0,98.79579241301624,6.590780014210557
Coredumping,1679990986,1.0,93.2,6.661901358112938
Crackshell,1925858793,1.0,88.7385421213444,8.882736949083522
Craneballs,-1079772408,10.0,68.28947368421052,3.4161817750980754
Crate Entertainment,-122158537,11.0,94.87862784049614,3.796663779131498
Creoteam,-284553629,12.0,91.24472573839662,4.564518546192928
Cristian Manolachi,2125314227,1.0,47.05882352941176,23.647650014779774
Croteam,552948100,6.666666666666667,90.94467877942357,3.562844525991958
Crowbar Collective,583796509,7.0,95.57966321243524,4.781373847545535
Crytek,-729942235,6.0,82.12905995135212,5.478923278942769
Curve Digital,-586528534,12.0,90.2606448225326,5.5311744936234435
Cyan Inc.,-1156782927,10.0,78.70036101083032,2.624220107063365
Cybernetik Design,2092859421,3.0,87.5,17.53507014028056
D-Games,-662757056,3.0,56.09756097560976,14.059539091631516
D3 PUBLISHER,-544559099,2.0,96.25831485587582,4.81532340449604
DANGEN Entertainment,174723054,5.0,95.30067702110712,4.767417559835274
DANKIE,981778681,1.0,77.73809523809524,78.52332852332853
DL Softworks,507793820,1.0,72.54257803599909,8.84990610444266
Daedalic Entertainment,1281122926,11.25,81.48219171481271,4.4967800652107925
Dan Fornace,1269745975,2.0,95.12531220394452,6.345918092324517
Daniel Mullins Games,-1643513336,11.0,94.97899579915985,19.03386689361921
David Mulder,585208220,1.0,45.45454545454545,22.841480127912288
David OReilly,-828213904,3.0,85.92337494619026,86.7912878244346
Daybreak Game Company,826812775,5.0,91.9233971690258,6.132314687726871
Days of Wonder,598418199,5.0,88.2051282051282,8.829342162675495
Deck13,1324003936,5.0,95.30067702110712,4.767417559835274
Deep Silver,1887085205,7.8125,74.00076890414867,4.53638422806762
Defiant Development,-478859610,11.5,87.44248466257667,3.6619122860819227
Degica,1728867434,5.8,89.00556489648679,3.4232411325416208
DesktopPaints LLC,-1849661233,4.0,70.33898305084746,17.62881780722994
Devdan Games,1782211266,1.0,60.0,15.037593984962406
Devolver Digital,-1539353560,7.055555555555555,88.54172549218475,7.3524349589748255
Diatomic Games,-935639446,1.0,84.13858868404323,28.13999621539907
Digital Confectioners,750848128,13.0,90.37686655605592,4.521103879742667
Digital Tribe,-1646519794,2.0,73.16810344827587,5.6326484563722765
DigitalDNA Games LLC,-110131702,6.0,78.54942593111174,19.6865729150656
Digitalmindsoft,-680377695,7.0,77.21446881230418,5.151065297685402
"Dingaling Productions, LLC",784900555,1.0,96.10576232217272,9.62019642864592
Dinosaur Polo Club,-20234343,25.0,96.67013527575442,9.676690217793237
Disney Interactive,-483919086,4.933333333333334,87.65174072835937,7.9483623270003
Displacement Studios,1756783285,1.0,80.0,80.8080808080808
DistrictWare inc.,-79537391,1.0,70.3056768558952,4.690171904996344
Doborog Games,-1683577585,1.0,97.53333333333332,6.506559928841448
DolphinBarn,639805910,1.0,88.60471005317801,8.869340345663465
Dominique Grieshofer,-77795626,28.0,95.52778196054813,31.949090956705056
DotEmu,1838204769,10.0,52.734375,8.803735392320533
Double Damage Games,-1250613205,7.0,86.61345496009122,4.332839167588356
Double Fine Presents,571458039,4.5,80.29442209366091,45.26321442850374
Double Fine Productions,-439660312,4.666666666666667,92.96937971409022,7.274537502731757
DoubleBear Productions,-2146027994,1.0,71.32644956314536,3.56810653142298
Dovetail Games - Fishing,975786421,7.0,56.685499058380415,2.8356927993186805
Dovetail Games - Flight,-1462838448,1.0,84.42107332415962,3.378194210650645
Dovetail Games - TSW,2041182863,8.0,70.97301717089125,1.3648657148248318
Dovetail Games - Trains,-1705500459,8.0,67.25514922236235,2.2425858360240865
Downpour Interactive,11823072,1.0,75.41581225791752,3.017839626167168
Dry Cactus,-146486123,10.0,89.72602739726028,8.981584324050077
DyingCat,1479181128,2.0,66.66666666666666,22.296544035674465
Dylan Fitterer,-261482996,1.0,78.83660704327829,4.594492399106375
Dymchick1,1019623598,1.0,54.6875,27.481155778894472
EarthWork Games,1820325745,14.0,88.7780548628429,5.922485314399125
EcoGames,1581433823,1.0,76.92307692307693,12.841916013869271
Edmund McMillen,364773581,1.0,93.38583097834825,12.614193386824212
"Eek! Games, LLC",-604861140,1.0,88.23142669296516,5.886019125614753
Eggcode,-1273866182,18.0,88.08373590982286,5.876166504991518
Egosoft,690757844,9.0,67.0482095985175,6.094578429193121
Electronic Arts,560145306,8.625,84.97651482681127,4.499738378415999
Eleon Game Studios,-1916614609,8.0,81.47031734070167,4.075553643857012
Endnight Games Ltd,678011284,16.0,94.13797074743752,4.7092531639538535
Entrada Interactive LLC,1440539237,1.0,66.14583333333334,2.646892090169401
"Epic Games, Inc.",-1376705759,3.0,91.75016630872886,5.401421445481171
Eternity Studios,1648580865,1.0,37.25490196078432,9.337068160597576
Eugen Systems,1278964135,7.5,81.420409908782,5.947513567602682
EuroVideo Medien,-1213845941,14.0,87.4414976599064,4.374262014002322
Eversim,1304869972,9.0,45.49180327868852,0.910018069187608
Evil Tortilla Games,1970659566,1.0,74.44798822374878,14.919436517785329
