id,name,num_languages,%_positive_reviews,RPR
244850,Space Engineers,16,89.1342082980525,4.458939884845048
325610,Total War: ATTILA,9,74.78164595891253,1.6621837288044572
298610,Ylands,7,58.32068791097622,3.888045860731748
264710,Subnautica,18,95.36582912045073,3.816159628669497
322170,Geometry Dash,1,94.34400884736046,23.64511499933846
211820,Starbound,1,90.01109877913429,6.0047430806627276
242920,Banished,1,89.51492164886716,4.4779850749808485
460930,Tom Clancy's Ghost ReconÂ® Wildlands,15,77.55804535637148,1.551471201367703
373420,Divinity: Original Sin Enhanced Edition,9,87.26965601965601,2.1822869722344587
220200,Kerbal Space Program,9,94.22782450456047,2.356284683784958
10500,Empire: Total War,8,88.12046004842615,3.5262288934944443
4700,Medieval II: Total War,9,95.55323348426796,3.8236588028918757
221100,DayZ,9,61.81375076158785,1.3739442267523416
239140,Dying Light,11,93.11536088834052,2.328466138743199
232090,Killing Floor 2,18,87.27828174194956,2.9102461401116893
457140,Oxygen Not Included,4,95.985347985348,3.8409502995337337
55100,Homefront,6,58.99788285109386,2.9513698274684277
391220,Rise of the Tomb Raider,14,91.3536630717739,1.5228148536718435
47890,The Sims(TM) 3,17,85.41469567959635,4.272871219589613
314160,Microsoft Flight Simulator X: Steam Edition,1,84.42107332415962,3.3781942106506455
305620,The Long Dark,18,90.022145155225,3.0017387514246416
268910,Cuphead,12,95.86703601108032,4.795749675391712
628890,NOBUNAGA'S AMBITION: Taishi,3,59.61538461538461,0.9937553694846576
612880,Wolfenstein II: The New Colossus,10,71.91078963230862,1.1987129460294819
270880,American Truck Simulator,24,96.10975755881296,4.807891823852574
475150,Titan Quest Anniversary Edition,12,90.49412807445158,1.005602045498962
620,Portal 2,22,98.86133703630232,9.896029733363594
440900,Conan Exiles,12,78.7484595371765,1.9692037893767567
34330,Total War: SHOGUN 2,8,91.55610155610157,3.0528876810970846
225540,Just Cause 3,10,79.75623911781776,3.9898068593205482
619890,Evil Glitch,1,66.66666666666666,22.296544035674465
240720,Getting Over It with Bennett Foddy,5,83.30254041570439,10.425849864293415
105450,Age of EmpiresÂ® III: Complete Collection,5,90.0264066626041,2.2512229723081796
219740,Don't Starve,1,96.7969078871838,9.689380168887268
311210,Call of Duty: Black Ops III,11,79.64927318832815,1.3277091713340248
493340,Planet Coaster,9,88.8914523013035,1.9758046744010558
346010,Besiege,9,95.17456883600744,9.526983867468212
595460,Flix and Chill,1,81.02189781021897,81.84030081840301
