id,publisher,publisher_id
339600,KIXEYE,1369364677
339610,Joycity,972511576
333420,GSC Game World,-1856036851
212500,"Standing Stone Games, LLC",1413430417
235540,Fatshark,-117429948
269210,Panic Art Studios,843893761
531640,Dire Wolf Digital,1768437183
65930,2K,-12454423
310950,Capcom,78587240
275850,Hello Games,1286220601
367500,Capcom,78587240
448440,Proximity Games,-1170361027
12210,Rockstar Games,976899290
226840,Paradox Interactive,-1113012495
601430,Bethesda Softworks,-950390578
675010,Focus Home Interactive,-1378653689
17390,Electronic Arts,560145306
1840,Valve,-2110134855
646570,Mega Crit Games,-917577673
297000,Ubisoft Entertainment,194315509
113400,Little Orbit,-761076045
612510,"Project """"The Game""""",720744004
263280,OoveeÃ‚Â® Game Studios,-265343409
206420,Deep Silver,1887085205
236870,IO Interactive A/S,-501736270
236870,Feral Interactive,-1186516368
624120,SEGA,1417143641
220240,Ubisoft,-2080260409
521890,tinyBuild,-355007632
438100,VRChat Inc.,198770359
299740,Entrada Interactive LLC,1440539237
65980,2K,-12454423
65980,Aspyr,802383246
219640,Torn Banner Studios,672019004
588650,Motion Twin,-1875700035
442080,Nexon America,-940856621
55230,Deep Silver,1887085205
221680,Ubisoft,-2080260409
208580,LucasArts,512719419
208580,Disney Interactive,-483919086
208580,Lucasfilm,1203862585
208580,Aspyr,802383246
459820,Sad Panda Studios,2065236076
310560,Codemasters,-742141607
310560,Feral Interactive,-1186516368
434650,Another Indie,665628195
393430,Iceflake Studios,1341971296
200710,Runic Games,264526409
205100,Bethesda Softworks,-950390578
349040,BANDAI NAMCO Entertainment,-1127678441
300,Valve,-2110134855
213670,Ubisoft,-2080260409
50130,2K,-12454423
50130,Feral Interactive,-1186516368
334230,BlankMediaGames,-1761237127
319630,Square Enix,-1704654576
319630,Feral interactive,2065782517
319630,Feral Interactive,-1186516368
245620,Kalypso Media Digital,-1048555646
204880,Stardock Entertainment,-1161147646
449540,K Bros Games,363367676
451340,Code Horizon,-969343543
451340,PlayWay S.A.,211720083
80,Valve,-2110134855
376210,Afterthought LLC,85794591
488790,Ubisoft,-2080260409
542650,Alekseev,-1732442396
429660,BANDAI NAMCO Entertainment,-1127678441
35450,Tripwire Interactive,-644447441
313160,Giants Software,-1219861111
455940,irritatingFLY studio,1349848031
447820,New World Interactive,1353498265
286690,Deep Silver,1887085205
607890,BANDAI NAMCO Entertainment,-1127678441
251060,Focus Home Interactive,-1378653689
375450,"KOEI TECMO GAMES CO., LTD.",-482308940
657200,HFM Games,536593129
304030,Trion Worlds,880374599
311690,Devolver Digital,-1539353560
