appid,Year,Month,mean,max
531640,2018,2,1121.5964324034337,1824.0
531640,2019,2,869.3240591230903,1356.0
531640,2020,2,536.9966130397968,981.0
531640,2018,3,1081.6565792423223,2010.0
531640,2019,3,764.5317378917379,1472.0
531640,2020,3,510.9782731696277,844.0
531640,2018,4,996.7972548563451,1610.0
531640,2019,4,719.8235363272984,1086.0
531640,2020,4,511.8782644178455,737.0
531640,2018,5,868.9790194098508,1377.0
531640,2019,5,789.9175610870062,1868.0
531640,2020,5,455.50348158131175,731.0
531640,2018,6,817.0361948955916,2262.0
531640,2019,6,590.9122123893806,1024.0
531640,2020,6,415.595015211795,971.0
531640,2018,7,951.4719684151156,1746.0
531640,2019,7,500.8403953197774,790.0
531640,2020,7,441.7616422947132,659.0
531640,2018,8,870.6636680535253,1475.0
531640,2019,8,460.9971872187219,679.0
531640,2020,8,407.9801575722206,629.0
531640,2018,9,961.6582249070632,1594.0
531640,2019,9,438.8296426479203,695.0
531640,2018,10,1047.516550326503,2043.0
531640,2019,10,613.4374717322479,1198.0
531640,2018,11,1076.0851804572358,2248.0
531640,2019,11,546.0219896519285,883.0
531640,2017,12,1347.5318287037037,2905.0
531640,2018,12,1261.08810325477,2599.0
531640,2019,12,502.66534944112,829.0
532030,2018,1,4.8068965517241375,71.0
532030,2019,1,2.404858299595141,38.0
532030,2020,1,0.9271255060728744,27.0
532030,2018,2,2.675941080196399,52.0
532030,2019,2,4.382440476190476,86.0
532030,2020,2,0.1179856115107913,7.0
532030,2018,3,24.96635262449529,3174.0
532030,2019,3,0.1839237057220708,2.0
532030,2020,3,0.8024193548387096,31.0
532030,2018,4,0.5919220055710307,4.0
532030,2019,4,0.2011251758087201,4.0
532030,2020,4,0.7841225626740947,18.0
532030,2018,5,1.4885598923283985,41.0
532030,2019,5,0.678763440860215,101.0
532030,2020,5,0.1935483870967742,3.0
532030,2018,6,0.7916666666666666,7.0
532030,2019,6,2.6737288135593222,144.0
532030,2020,6,4.109090909090909,116.0
532030,2018,7,4.124324324324324,108.0
532030,2019,7,5.6482479784366575,80.0
532030,2020,7,9.038978494623656,119.0
532030,2018,8,3.1278600269179004,109.0
532030,2019,8,0.2274562584118439,4.0
532030,2020,8,0.2951388888888889,3.0
532030,2018,9,0.7496522948539638,68.0
532030,2019,9,10.19047619047619,355.0
532030,2018,10,0.5201612903225806,22.0
532030,2019,10,0.2341001353179972,16.0
532030,2018,11,2.2482566248256624,102.0
532030,2019,11,0.5435393258426966,74.0
532030,2017,12,2.7731481481481484,15.0
532030,2018,12,8.456989247311828,109.0
532030,2019,12,3.819650067294751,93.0
533180,2018,1,18.38757034499633,407.0
533180,2019,1,0.4028752546977586,32.0
533180,2020,1,0.0038465889806539,2.0
533180,2018,2,8.78939577445835,346.0
533180,2019,2,0.2329192546583851,19.0
533180,2020,2,0.0020561199806482,1.0
533180,2018,3,4.369394618834081,271.0
533180,2019,3,0.1991115161180089,38.0
533180,2020,3,0.0,0.0
533180,2018,4,2.3584554547569203,149.0
533180,2019,4,0.0091797104860539,1.0
533180,2020,4,0.011156462585034,1.0
533180,2018,5,2.612052519358097,281.0
533180,2019,5,0.0148520507254655,1.0
